,age,education,education.num,race,income
0,56,9th,5,White,<=50K
1,19,HS-grad,9,White,<=50K
2,23,Some-college,10,Asian-Pac-Islander,<=50K
3,37,Bachelors,13,White,<=50K
4,49,Masters,14,White,>50K
5,50,HS-grad,9,White,>50K
6,59,10th,6,White,<=50K
7,43,Bachelors,13,White,<=50K
8,23,Bachelors,13,White,<=50K
9,62,Bachelors,13,White,>50K
10,60,7th-8th,4,White,>50K
11,36,Assoc-voc,11,White,>50K
12,66,HS-grad,9,Black,<=50K
13,30,Bachelors,13,White,<=50K
14,45,HS-grad,9,White,>50K
15,17,10th,6,White,<=50K
16,28,HS-grad,9,White,<=50K
17,38,Masters,14,White,>50K
18,40,HS-grad,9,White,>50K
19,52,Some-college,10,White,<=50K
20,61,10th,6,White,<=50K
21,47,Doctorate,16,White,<=50K
22,51,Prof-school,15,White,<=50K
23,33,HS-grad,9,Other,<=50K
24,35,Bachelors,13,Asian-Pac-Islander,>50K
25,24,HS-grad,9,White,<=50K
26,30,HS-grad,9,White,<=50K
27,52,Prof-school,15,White,>50K
28,46,Prof-school,15,White,>50K
29,27,Bachelors,13,White,<=50K
30,28,Bachelors,13,White,<=50K
31,28,Some-college,10,White,<=50K
32,58,Assoc-acdm,12,Black,>50K
33,51,HS-grad,9,White,<=50K
34,34,HS-grad,9,Black,<=50K
35,37,HS-grad,9,White,<=50K
36,37,Some-college,10,White,<=50K
37,39,Masters,14,White,>50K
38,29,Bachelors,13,White,<=50K
39,28,Bachelors,13,White,<=50K
40,52,Bachelors,13,White,>50K
41,38,7th-8th,4,White,>50K
42,39,Assoc-acdm,12,White,>50K
43,31,Some-college,10,Asian-Pac-Islander,<=50K
44,51,Bachelors,13,White,>50K
45,33,HS-grad,9,White,>50K
46,35,HS-grad,9,Black,<=50K
47,52,5th-6th,3,White,<=50K
48,58,HS-grad,9,White,<=50K
49,27,HS-grad,9,White,<=50K
50,33,9th,5,White,<=50K
51,43,Some-college,10,White,<=50K
52,41,Some-college,10,White,<=50K
53,17,10th,6,White,<=50K
54,35,HS-grad,9,White,<=50K
55,48,HS-grad,9,White,<=50K
56,58,HS-grad,9,White,>50K
57,43,Masters,14,White,>50K
58,42,HS-grad,9,White,<=50K
59,19,HS-grad,9,White,<=50K
60,38,Some-college,10,White,>50K
61,46,Bachelors,13,White,>50K
62,47,Some-college,10,White,>50K
63,21,Assoc-acdm,12,White,<=50K
64,59,7th-8th,4,White,<=50K
65,35,HS-grad,9,White,<=50K
66,31,HS-grad,9,White,<=50K
67,57,HS-grad,9,White,>50K
68,59,10th,6,White,<=50K
69,29,Bachelors,13,White,<=50K
70,51,HS-grad,9,White,<=50K
71,17,10th,6,Black,<=50K
72,44,Some-college,10,White,>50K
73,36,Some-college,10,White,<=50K
74,63,HS-grad,9,White,<=50K
75,41,HS-grad,9,White,<=50K
76,48,Bachelors,13,White,<=50K
77,43,Bachelors,13,Asian-Pac-Islander,<=50K
78,41,HS-grad,9,White,<=50K
79,20,Assoc-acdm,12,White,<=50K
80,60,Assoc-acdm,12,White,>50K
81,49,Bachelors,13,White,>50K
82,38,Bachelors,13,White,<=50K
83,23,HS-grad,9,White,<=50K
84,39,Some-college,10,White,<=50K
85,19,HS-grad,9,White,<=50K
86,31,Some-college,10,White,<=50K
87,31,HS-grad,9,White,<=50K
88,18,11th,7,White,<=50K
89,42,HS-grad,9,White,<=50K
90,37,HS-grad,9,White,<=50K
91,48,Bachelors,13,White,>50K
92,36,Some-college,10,White,>50K
93,35,HS-grad,9,Black,<=50K
94,32,Masters,14,Asian-Pac-Islander,<=50K
95,32,Bachelors,13,White,<=50K
96,43,HS-grad,9,Black,<=50K
97,22,Some-college,10,White,<=50K
98,27,Bachelors,13,White,<=50K
99,37,HS-grad,9,White,<=50K
